Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
290.0,Trayce Jackson-Davis,24.0,GSW,C,54.0,37.0,17.1,3.0,5.2,0.571,0.0,0.0,0.0,3.0,5.2,0.573,0.571,1.0,1.7,0.589,2.1,3.4,5.4,1.8,0.4,0.7,0.8,1.3,6.9,,jackstr02
293.0,Eric Gordon,36.0,PHI,SG,39.0,13.0,19.7,2.2,5.2,0.426,1.4,3.5,0.409,0.8,1.7,0.463,0.564,0.9,1.2,0.75,0.2,1.0,1.2,1.7,0.7,0.3,0.7,0.8,6.8,,gordoer01
294.0,Jaxson Hayes,24.0,LAL,C,42.0,21.0,19.6,2.8,3.9,0.716,0.0,0.0,0.0,2.8,3.8,0.725,0.716,1.3,1.8,0.707,1.4,3.3,4.7,1.1,0.6,1.0,0.8,2.3,6.8,,hayesja02
295.0,Cameron Payne,30.0,NYK,PG,61.0,1.0,14.3,2.4,6.0,0.408,1.3,3.5,0.363,1.2,2.5,0.47,0.514,0.7,0.8,0.891,0.2,1.2,1.4,2.7,0.5,0.2,0.7,1.5,6.8,,payneca01
296.0,Vince Williams Jr.,24.0,MEM,SG,17.0,2.0,18.4,2.5,6.4,0.394,0.9,3.5,0.254,1.6,2.9,0.56,0.463,0.9,1.2,0.75,0.9,2.7,3.6,1.9,0.6,0.2,1.4,1.9,6.8,,willivi01
297.0,Ricky Council IV,23.0,PHI,SF,59.0,7.0,15.5,2.3,5.6,0.402,0.8,2.6,0.292,1.5,3.0,0.497,0.47,1.4,1.7,0.837,0.6,1.7,2.4,1.2,0.5,0.2,0.6,0.9,6.7,,councri01
298.0,Tristan Vukcevic,21.0,WAS,C,22.0,0.0,10.7,2.4,5.0,0.473,0.8,2.5,0.327,1.5,2.5,0.618,0.555,1.0,1.3,0.793,0.7,2.4,3.1,0.9,0.3,0.5,0.9,1.4,6.6,,vukcetr01
299.0,Precious Achiuwa,25.0,NYK,C,44.0,8.0,21.1,2.8,5.3,0.519,0.2,0.7,0.3,2.6,4.7,0.551,0.538,0.7,1.2,0.627,2.0,3.8,5.7,1.0,0.8,0.7,0.7,1.5,6.5,,achiupr01
300.0,Alex Caruso,30.0,OKC,SG,44.0,1.0,19.2,2.5,5.6,0.437,1.1,3.1,0.348,1.4,2.5,0.55,0.534,0.5,0.7,0.8,0.7,2.0,2.6,2.5,1.7,0.5,0.7,1.8,6.5,,carusal01
302.0,Gary Payton II,32.0,GSW,SG,56.0,10.0,14.8,2.8,4.8,0.578,0.5,1.6,0.322,2.3,3.2,0.702,0.631,0.5,0.7,0.711,0.8,2.1,2.9,1.3,0.8,0.3,0.6,1.7,6.5,,paytoga02
