Rk,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards,-9999
106,Quentin Grimes,24,2TM,SG,64,26,1635,4,57,39,1,0,-3.4,-1.5,48,37,51,6,58,15,405,20,20,,grimequ01
106,Quentin Grimes,24,DAL,SG,47,12,1070,0,50,48,2,0,0.1,0.8,30,16,28,6,33,9,244,11,9,,grimequ01
106,Quentin Grimes,24,PHI,SG,17,14,565,9,70,20,1,0,-10.0,-5.9,18,21,23,0,25,6,161,9,11,,grimequ01
107,Jrue Holiday,34,BOS,PG,53,53,1625,64,36,0,0,0,6.2,-4.2,47,16,46,2,25,10,497,6,18,,holidjr01
108,Cason Wallace,21,OKC,SG,59,39,1621,10,60,28,2,0,10.9,-3.7,27,15,73,3,14,6,362,6,28,,wallaca01
109,Rui Hachimura,26,LAL,PF,50,50,1605,0,0,1,81,19,4.7,5.0,19,17,42,3,52,4,195,10,36,,hachiru01
110,Keon Johnson,22,BRK,SG,67,44,1603,30,69,2,0,0,-9.6,-5.9,44,31,87,6,53,10,338,11,65,,johnske07
111,Corey Kispert,25,WAS,SF,61,0,1602,0,0,30,69,1,-9.2,4.7,30,18,50,6,39,6,252,6,34,,kispeco01
112,Devin Vassell,24,SAS,SG,52,41,1602,0,49,49,2,0,-7.5,-9.3,34,25,49,2,55,2,367,20,28,,vassede01
113,Davion Mitchell,26,2TM,PG,61,36,1602,94,6,0,0,0,-2.9,1.8,69,25,54,7,25,46,668,10,19,,mitchda01
113,Davion Mitchell,26,TOR,PG,44,22,1080,95,5,0,0,0,-2.5,3.8,52,16,42,5,15,34,483,8,14,,mitchda01
113,Davion Mitchell,26,MIA,PG,17,14,522,91,9,0,0,0,-3.6,-2.3,17,9,12,2,10,12,185,2,5,,mitchda01
114,Draymond Green,34,GSW,PF,55,53,1601,0,0,8,70,22,7.3,8.6,110,11,91,15,49,19,763,15,16,,greendr01
115,Duncan Robinson,30,MIA,SF,65,33,1594,1,32,56,11,0,0.4,4.0,46,17,75,6,16,10,378,1,23,,robindu01
116,Buddy Hield,32,GSW,SG,69,22,1593,23,51,26,0,0,0.2,-5.1,42,23,52,8,18,1,288,7,28,,hieldbu01
117,Royce O'Neale,31,PHO,SF,63,19,1592,0,5,59,37,1,-0.4,1.3,35,14,77,4,11,3,347,2,17,,onealro01
118,Gradey Dick,21,TOR,SG,54,54,1587,1,42,51,6,0,-6.6,-2.8,38,32,58,7,63,16,236,5,36,,dickgr01
119,Derrick Jones Jr.,27,LAC,SF,64,52,1585,0,1,27,69,2,5.2,4.4,23,22,73,7,53,14,117,16,24,,jonesde02
120,Walker Kessler,23,UTA,C,52,52,1583,0,0,0,0,100,-6.2,2.6,23,29,71,20,74,2,208,27,38,,kesslwa01
121,Terry Rozier,30,MIA,PG,59,23,1571,100,0,0,0,0,-4.4,-5.3,43,17,31,10,47,14,385,9,34,,roziete01
122,Norman Powell,31,LAC,SG,48,48,1561,11,53,36,1,0,6.1,6.1,38,36,48,8,94,6,237,15,37,,powelno01
123,Julian Champagnie,23,SAS,SF,67,26,1556,0,11,46,42,1,0.0,5.5,29,15,56,7,29,0,206,7,26,,champju02
124,Jakob Poeltl,29,TOR,C,52,51,1551,0,0,0,0,100,-1.0,7.8,46,26,88,20,66,6,331,20,34,,poeltja01
125,P.J. Washington,26,DAL,PF,48,47,1546,0,0,10,81,9,3.3,7.0,29,46,60,11,76,10,277,18,43,,washipj01
126,Bradley Beal,31,PHO,SG,48,33,1545,19,66,15,0,0,-7.4,-11.7,52,30,80,3,52,9,425,8,18,,bealbr01
127,Anthony Black,21,ORL,PG,65,9,1543,56,41,3,0,0,-3.6,-3.1,61,33,74,10,80,19,481,19,42,,blackan01
128,Isaiah Collier,20,UTA,PG,61,36,1532,66,34,0,0,0,-8.6,-2.0,106,43,62,16,50,7,937,14,47,,colliis01
129,Victor Wembanyama,21,SAS,C,46,46,1527,0,0,0,0,100,2.9,10.8,69,59,56,10,86,11,387,23,27,,wembavi01
130,Jerami Grant,30,POR,PF,47,47,1524,0,0,62,35,4,-6.3,-4.3,31,22,46,6,72,8,245,13,42,,grantje01
131,Zaccharie Risacher,19,ATL,SF,62,60,1520,0,5,78,17,0,-4.0,-3.4,27,33,73,5,58,7,192,11,44,,risacza01
132,Keldon Johnson,25,SAS,SF,64,0,1519,0,18,69,13,0,-6.5,-7.0,26,21,53,4,86,4,240,28,31,,johnske04
133,Kyle Kuzma,29,2TM,PF,51,48,1517,0,0,19,80,1,-12.1,-8.3,45,48,53,13,75,15,291,14,35,,kuzmaky01
133,Kyle Kuzma,29,WAS,PF,32,30,887,0,0,2,97,1,-21.0,-13.0,27,31,25,9,42,9,197,7,22,,kuzmaky01
133,Kyle Kuzma,29,MIL,PF,19,18,630,0,0,42,57,1,0.4,-1.6,18,17,28,4,33,6,94,7,13,,kuzmaky01
134,Gary Trent Jr.,26,MIL,SG,61,7,1516,3,53,44,1,0,0.0,-3.3,10,16,39,7,27,10,169,7,11,,trentga02
135,Aaron Wiggins,26,OKC,SG,67,21,1506,2,34,51,13,0,13.5,1.3,30,20,57,1,33,2,275,6,34,,wiggiaa01
136,Keon Ellis,25,SAC,SG,65,14,1498,18,70,12,0,0,4.4,6.2,31,12,66,4,29,9,213,8,13,,elliske01
137,Collin Sexton,26,UTA,SG,53,51,1491,21,76,3,0,0,-4.0,6.3,61,57,56,7,95,7,546,24,61,,sextoco01
138,Naji Marshall,27,DAL,SF,56,22,1487,0,2,41,54,3,-2.1,-3.0,48,26,40,7,60,2,392,14,32,,marshna01
139,Ochai Agbaji,24,TOR,SG,55,39,1482,10,65,24,1,0,-6.4,-2.3,15,14,59,5,20,1,206,5,29,,agbajoc01
140,Tristan Da Silva,23,ORL,SF,65,36,1481,0,12,55,29,5,-2.6,-1.2,25,15,47,7,28,3,236,6,19,,dasiltr01
141,Lauri Markkanen,27,UTA,PF,47,47,1476,0,0,9,82,9,-6.5,1.8,20,29,39,12,68,8,179,13,39,,markkla01
142,Anthony Davis,31,2TM,PF,43,43,1471,0,0,0,5,95,1.6,-1.2,38,42,48,9,143,5,356,38,34,,davisan02
142,Anthony Davis,31,LAL,C,42,42,1440,0,0,0,5,95,1.4,-1.6,38,41,48,9,140,5,339,38,34,,davisan02
