Player,2024-25,2025-26,Guaranteed
RJ Barrett,$25794643,$27705357,$83116071
Rayan Rupert,$1891857,$2221677,$1891857
Reed Sheppard,$10098960,$10603560,$20702520
Reggie Jackson,$4033748,,$2087519
Richaun Holmes,$12648321,$13280737,$12648321
Ricky Council IV,$1891857,$2221677,$4113534
Rob Dillingham,$6262920,$6576120,$12839040
Robert Williams,$12428571,$13285713,$25714284
Ron Holland,$8245320,$8657280,$16902600
Royce O'Neale,$9375000,$10125000,$42000000
Rudy Gobert,$43827586,$35000000,$115327586
Rui Hachimura,$17000000,$18259259,$35259259
Russell Westbrook,$5631296,$3468960,$3303771
Ryan Dunn,$2530800,$2657760,$5188560
Ryan Rollins,$600000,,$600000
Sam Hauser,$2092344,$10044644,$47092344
Sam Merrill,$2164993,,$2164993
Sandro Mamukelashvili,$2087519,,$2087519
Santi Aldama,$3960531,,$3960531
Scoot Henderson,$10259160,$10748040,$21007200
Scottie Barnes,$10130980,$38661750,$234369130
Scotty Pippen Jr.,$2087519,$2270735,$4358254
Seth Curry,$2087519,,$2087519
Shaedon Sharpe,$6614160,$8399983,$15014143
Shai Gilgeous-Alexander,$35859950,$38333050,$114999150
Shake Milton,$2875000,$3000000,$9162406
Sidy Cissoko,$1891857,,$1891857
Simone Fontecchio,$7692308,$8307692,$16000000
Spencer Dinwiddie,$2087519,,$2087519
Stephen Curry,$55761216,$59606817,$177955191
Stephon Castle,$9105120,$9560520,$18665640
Steven Adams,$12600000,,$12600000
Svi Mykhailiuk,$3500000,$3675000,$3500000
T.J. McConnell,$9300000,$10200000,$42300000
Taj Gibson,$2087519,,$2087519
Talen Horton-Tucker,$2087519,,$2087519
Tari Eason,$3695160,$5675766,$9370926
Taurean Prince,$2087519,,$2087519
Taylor Hendricks,$5848680,$6127080,$11975760
Terance Mann,$11423077,$15500000,$58423077
Terrence Shannon Jr.,$2546640,$2674080,$5220720
Terry Rozier,$24924126,$26643031,$51567157
Thomas Bryant,$2087519,,$2087519
Tidjane Salaün,$7488720,$7863240,$15351960
Tim Hardaway Jr.,$16193183,,$16193183
Tobias Harris,$25365854,$26634146,$52000000
Torrey Craig,$3625162,,$2845342
Toumani Camara,$1891857,$2221677,$1891857
Trae Young,$43031940,$45999660,$89031600
Trayce Jackson-Davis,$1891857,$2221677,$1891857
Tre Jones,$9104167,,$9104167
Tre Mann,$4908373,,$4908373
Trendon Watford,$2726603,,$2726603
Trey Lyles,$8000000,,$8000000
Trey Murphy III,$5159854,$25000000,$117159854
Tristan Da Silva,$3628440,$3809520,$7437960
Tristan Thompson,$2087519,,$2087519
Ty Jerome,$2560975,,$2560975
Tyler Herro,$29000000,$31000000,$93000000
Tyler Kolek,$2087519,$2191897,$6575687
Tyler Smith,$1157153,$1955377,$5408801
Tyrese Haliburton,$42176400,$45550512,$244623120
Tyrese Maxey,$35147000,$37958760,$203852600
Tyus Jones,$2087519,,$2087519
Vasilije Micić,$7723000,$8109150,$7723000
Victor Wembanyama,$12768960,$13376880,$26145840
Vince Williams Jr.,$2120693,$2301587,$4422280
Vit Krejci,$2162606,$2349578,$2162606
Vlatko Čančar,$2087519,,$2087519
Walker Kessler,$2965920,$4878938,$7844858
Wendell Carter Jr.,$11950000,$10850000,$60452160
Wendell Moore Jr.,$2537040,,$2537040
Xavier Tillman Sr.,$2237691,$2546675,$4784366
Yves Missi,$3193200,$3353040,$6546240
Zaccharie Risacher,$12569040,$13197720,$25766760
Zach Collins,$16741200,$18080496,$34821696
Zach Edey,$5756880,$6045000,$11801880
Zach LaVine,$44531940,$47499660,$92031600
Zeke Nnaji,$8888889,$8177778,$24533334
Ziaire Williams,$6133005,,$6133005
Zion Williamson,$36725670,$39446090,$163225200
